Week Day,CLASS_ENDDATE,CLASS_STARTDATE,Class time,COURSE_DURATION,Course name,Course number,Date,bumping,moreequipment,START MONTH,SECOND MONTH,THIRD MONTH,FOURTH MONTH,Bumping Up,NOT ENOUGH EQUIP,countclassid,Remain,Equipment capacity,Room Bumping,INSTRUCTOR_CLASS,Enough pieces of Equipment,WEEKDAY OF STARTDATE,WEEK1,WEEK2,WEEK3,WEEK4,WEEK5,WEEK6,WEEK7,WEEK8,WEEK9,WEEK10,DAY OF WEEK,min_date,max_date,Enough Instructor,Course maximum supply,Course demand,Class ID -change aliase,EQUIPTYPE_CAPACITY,Equipment description,Equipment number,MEM_ADDRST1,MEM_ADDRST2,MEM_CITY,MEM_DATEOFBIRTH,MEM_DATEOFJOINING,MEM_FNAME,MEM_GENDER,MEM_ID,MEM_LNAME,MEM_MNAME,MEM_PHONENUMBER,MEM_STATE,MEM_ZIP,NUMBER_OF_EQUIP,NUMBER_OF_INSTRUCTOR,NUMBER_OF_PEOPLE_CLASS,NUMBER_OF_PEOPLE_COURSE,Number of Records,Class ID,ROOM_CAPACITY,Room number,TYPE_NAME,WEEKDAY
Thu,2017/11/9,2017/9/5,10:00,10 WEEKS,quick abs,ABS200,,ROOM ENOUGH,0,September,OCTOBER,NOVEMBER,,NO,伪,1,3,4,NO,15,ENOUGH,3,2017/9/7,2017/9/14,2017/9/21,2017/9/28,2017/10/5,2017/10/12,2017/10/19,2017/10/26,2017/11/2,2017/11/9,5,2017/9/5,2017/11/9,真,15,1,01,4,Nautilus,103,15 Mills Blvd,,Cocoa Beach,1988/02/02,2016/03/14,Jerry,Male,100004,Seinfeld,,515-676-2321,FL,12222,1,3,2,16,1,10001,5,1,Platinum,
Thu,2017/11/9,2017/9/5,10:00,10 WEEKS,quick abs,ABS200,2017/11/9,ROOM ENOUGH,0,September,OCTOBER,NOVEMBER,,NO,伪,1,3,4,NO,15,ENOUGH,3,2017/9/7,2017/9/14,2017/9/21,2017/9/28,2017/10/5,2017/10/12,2017/10/19,2017/10/26,2017/11/2,2017/11/9,5,2017/9/5,2017/11/9,真,15,1,01,4,Nautilus,103,15 Mills Blvd,,Cocoa Beach,1988/02/02,2016/03/14,Jerry,Male,100004,Seinfeld,,515-676-2321,FL,12222,1,3,2,16,1,10001,5,1,Platinum,2017/11/9
Thu,2017/11/9,2017/9/5,10:00,10 WEEKS,quick abs,ABS200,2017/11/2,ROOM ENOUGH,0,September,OCTOBER,NOVEMBER,,NO,伪,1,3,4,NO,15,ENOUGH,3,2017/9/7,2017/9/14,2017/9/21,2017/9/28,2017/10/5,2017/10/12,2017/10/19,2017/10/26,2017/11/2,2017/11/9,5,2017/9/5,2017/11/9,真,15,1,01,4,Nautilus,103,15 Mills Blvd,,Cocoa Beach,1988/02/02,2016/03/14,Jerry,Male,100004,Seinfeld,,515-676-2321,FL,12222,1,3,2,16,1,10001,5,1,Platinum,2017/11/2
Thu,2017/11/9,2017/9/5,10:00,10 WEEKS,quick abs,ABS200,2017/10/26,ROOM ENOUGH,0,September,OCTOBER,NOVEMBER,,NO,伪,1,3,4,NO,15,ENOUGH,3,2017/9/7,2017/9/14,2017/9/21,2017/9/28,2017/10/5,2017/10/12,2017/10/19,2017/10/26,2017/11/2,2017/11/9,5,2017/9/5,2017/11/9,真,15,1,01,4,Nautilus,103,15 Mills Blvd,,Cocoa Beach,1988/02/02,2016/03/14,Jerry,Male,100004,Seinfeld,,515-676-2321,FL,12222,1,3,2,16,1,10001,5,1,Platinum,2017/10/26
Thu,2017/11/9,2017/9/5,10:00,10 WEEKS,quick abs,ABS200,2017/10/19,ROOM ENOUGH,0,September,OCTOBER,NOVEMBER,,NO,伪,1,3,4,NO,15,ENOUGH,3,2017/9/7,2017/9/14,2017/9/21,2017/9/28,2017/10/5,2017/10/12,2017/10/19,2017/10/26,2017/11/2,2017/11/9,5,2017/9/5,2017/11/9,真,15,1,01,4,Nautilus,103,15 Mills Blvd,,Cocoa Beach,1988/02/02,2016/03/14,Jerry,Male,100004,Seinfeld,,515-676-2321,FL,12222,1,3,2,16,1,10001,5,1,Platinum,2017/10/19
Thu,2017/11/9,2017/9/5,10:00,10 WEEKS,quick abs,ABS200,2017/10/12,ROOM ENOUGH,0,September,OCTOBER,NOVEMBER,,NO,伪,1,3,4,NO,15,ENOUGH,3,2017/9/7,2017/9/14,2017/9/21,2017/9/28,2017/10/5,2017/10/12,2017/10/19,2017/10/26,2017/11/2,2017/11/9,5,2017/9/5,2017/11/9,真,15,1,01,4,Nautilus,103,15 Mills Blvd,,Cocoa Beach,1988/02/02,2016/03/14,Jerry,Male,100004,Seinfeld,,515-676-2321,FL,12222,1,3,2,16,1,10001,5,1,Platinum,2017/10/12
Thu,2017/11/9,2017/9/5,10:00,10 WEEKS,quick abs,ABS200,2017/10/5,ROOM ENOUGH,0,September,OCTOBER,NOVEMBER,,NO,伪,1,3,4,NO,15,ENOUGH,3,2017/9/7,2017/9/14,2017/9/21,2017/9/28,2017/10/5,2017/10/12,2017/10/19,2017/10/26,2017/11/2,2017/11/9,5,2017/9/5,2017/11/9,真,15,1,01,4,Nautilus,103,15 Mills Blvd,,Cocoa Beach,1988/02/02,2016/03/14,Jerry,Male,100004,Seinfeld,,515-676-2321,FL,12222,1,3,2,16,1,10001,5,1,Platinum,2017/10/5
Thu,2017/11/9,2017/9/5,10:00,10 WEEKS,quick abs,ABS200,2017/9/28,ROOM ENOUGH,0,September,OCTOBER,NOVEMBER,,NO,伪,1,3,4,NO,15,ENOUGH,3,2017/9/7,2017/9/14,2017/9/21,2017/9/28,2017/10/5,2017/10/12,2017/10/19,2017/10/26,2017/11/2,2017/11/9,5,2017/9/5,2017/11/9,真,15,1,01,4,Nautilus,103,15 Mills Blvd,,Cocoa Beach,1988/02/02,2016/03/14,Jerry,Male,100004,Seinfeld,,515-676-2321,FL,12222,1,3,2,16,1,10001,5,1,Platinum,2017/9/28
Thu,2017/11/9,2017/9/5,10:00,10 WEEKS,quick abs,ABS200,2017/9/21,ROOM ENOUGH,0,September,OCTOBER,NOVEMBER,,NO,伪,1,3,4,NO,15,ENOUGH,3,2017/9/7,2017/9/14,2017/9/21,2017/9/28,2017/10/5,2017/10/12,2017/10/19,2017/10/26,2017/11/2,2017/11/9,5,2017/9/5,2017/11/9,真,15,1,01,4,Nautilus,103,15 Mills Blvd,,Cocoa Beach,1988/02/02,2016/03/14,Jerry,Male,100004,Seinfeld,,515-676-2321,FL,12222,1,3,2,16,1,10001,5,1,Platinum,2017/9/21
Thu,2017/11/9,2017/9/5,10:00,10 WEEKS,quick abs,ABS200,2017/9/14,ROOM ENOUGH,0,September,OCTOBER,NOVEMBER,,NO,伪,1,3,4,NO,15,ENOUGH,3,2017/9/7,2017/9/14,2017/9/21,2017/9/28,2017/10/5,2017/10/12,2017/10/19,2017/10/26,2017/11/2,2017/11/9,5,2017/9/5,2017/11/9,真,15,1,01,4,Nautilus,103,15 Mills Blvd,,Cocoa Beach,1988/02/02,2016/03/14,Jerry,Male,100004,Seinfeld,,515-676-2321,FL,12222,1,3,2,16,1,10001,5,1,Platinum,2017/9/14
